       omega                    ReSigmaC(eV)     ImSigmaC(eV)    
    -78.57523403               -4.61988153        0.00671448     
    -78.30312018               -4.68817829        0.00692709     
    -78.03100632               -4.75865429        0.00715036     
    -77.75889247               -4.83141974        0.00738502     
    -77.48677862               -4.90659258        0.00763189     
    -77.21466477               -4.98429921        0.00789185     
    -76.94255092               -5.06467523        0.00816585     
    -76.67043707               -5.14786634        0.00845496     
    -76.39832322               -5.23402930        0.00876034     
    -76.12620937               -5.32333301        0.00908325     
    -75.85409552               -5.41595975        0.00942510     
    -75.58198167               -5.51210649        0.00978744     
    -75.30986782               -5.61198650        0.01017197     
    -75.03775397               -5.71583102        0.01058059     
    -74.76564012               -5.82389127        0.01101540     
    -74.49352627               -5.93644067        0.01147875     
    -74.22141242               -6.05377736        0.01197324     
    -73.94929857               -6.17622712        0.01250180     
    -73.67718472               -6.30414669        0.01306770     
    -73.40507087               -6.43792753        0.01367463     
    -73.13295702               -6.57800028        0.01432674     
    -72.86084317               -6.72483979        0.01502875     
    -72.58872931               -6.87897102        0.01578597     
    -72.31661546               -7.04097593        0.01660450     
    -72.04450161               -7.21150148        0.01749128     
    -71.77238776               -7.39126907        0.01845428     
    -71.50027391               -7.58108570        0.01950269     
    -71.22816006               -7.78185718        0.02064713     
    -70.95604621               -7.99460386        0.02189993     
    -70.68393236               -8.22047951        0.02327551     
    -70.41181851               -8.46079409        0.02479078     
    -70.13970466               -8.71704130        0.02646568     
    -69.86759081               -8.99093229        0.02832389     
    -69.59547696               -9.28443703        0.03039367     
    -69.32336311               -9.59983557        0.03270900     
    -69.05124926               -9.93978203        0.03531099     
    -68.77913541              -10.30738514        0.03824982     
    -68.50702156              -10.70631061        0.04158721     
    -68.23490771              -11.14091254        0.04539980     
    -67.96279386              -11.61640402        0.04978366     
    -67.69068001              -12.13908119        0.05486059     
    -67.41856616              -12.71662145        0.06078683     
    -67.14645230              -13.35848620        0.06776551     
    -66.87433845              -14.07647347        0.07606457     
    -66.60222460              -14.88548995        0.08604337     
    -66.33011075              -15.80465123        0.09819288     
    -66.05799690              -16.85888567        0.11319814     
    -65.78588305              -18.08133305        0.13203824     
    -65.51376920              -19.51703930        0.15615212     
    -65.24165535              -21.22884524        0.18772459     
    -64.96954150              -23.30715699        0.23020369     
    -64.69742765              -25.88695175        0.28929106     
    -64.42531380              -29.17915089        0.37497247     
    -64.15319995              -33.53284097        0.50605398     
    -63.88108610              -39.57065495        0.72147842     
    -63.60897225              -48.52207276        1.11306575     
    -63.33685840              -63.20052204        1.94257835     
    -63.06474455              -91.75906078        4.22712381     
    -62.79263070             -171.59933114       15.38179701     
    -62.52051685             -927.20337662      992.66344739     
    -62.24840300              197.91890068       22.25424859     
    -61.97628915               92.90614084        5.09182374     
    -61.70417529               59.54974333        2.20373985     
    -61.43206144               43.13080502        1.22912246     
    -61.15994759               33.30824336        0.78780372     
    -60.88783374               26.72143336        0.55257855     
    -60.61571989               21.94699330        0.41405719     
    -60.34360604               18.27241878        0.32761894     
    -60.07149219               15.29193981        0.27289471     
    -59.79937834               12.74155186        0.24066145     
    -59.52726449               10.41257274        0.22887557     
    -59.25515064                8.07606919        0.24465285     
    -58.98303679                5.33175126        0.32095110     
    -58.71092294                0.97692970        0.63081732     
    -58.43880909              -13.42989445        3.70304960     
    -58.16669524               39.64776296        8.21834453     
    -57.89458139               16.31069192        0.76971072     
    -57.62246754               11.55164356        0.30742130     
    -57.35035369                9.20024514        0.18424106     
    -57.07823984                7.64649674        0.13294730     
    -56.80612599                6.46366847        0.10622384     
    -56.53401214                5.48704251        0.09037124     
    -56.26189828                4.63762416        0.08021829     
    -55.98978443                3.87143093        0.07345483     
    -55.71767058                3.16099298        0.06892446     
    -55.44555673                2.48741502        0.06600355     
    -55.17344288                1.83652010        0.06434331     
    -54.90132903                1.19676487        0.06375215     
    -54.62921518                0.55798580        0.06413903     
    -54.35710133               -0.08945220        0.06548627     
    -54.08498748               -0.75532434        0.06783873     
    -53.81287363               -1.45016318        0.07130384     
    -53.54075978               -2.18592313        0.07606102     
    -53.26864593               -2.97679038        0.08238178     
    -52.99653208               -3.84026219        0.09066451     
    -52.72441823               -4.79868045        0.10149249     
    -52.45230438               -5.88152083        0.11573074     
    -52.18019053               -7.12896322        0.13469266     
    -51.90807668               -8.59771075        0.16043809     
    -51.63596283              -10.37094274        0.19633490     
    -51.36384898              -12.57632446        0.24818658     
    -51.09173513              -15.42090321        0.32668489     
    -50.81962127              -19.26481410        0.45331741     
    -50.54750742              -24.79561987        0.67665787     
    -50.27539357              -33.51068198        1.12665037     
    -50.00327972              -49.40601231        2.25617547     
    -49.73116587              -87.87681407        6.65170271     
    -49.45905202             -308.13258887       81.40611939     
    -49.18693817              205.62461847       32.74161886     
    -48.91482432               82.39591658        4.87883709     
    -48.64271047               52.33133200        1.87254001     
    -48.37059662               38.78260221        0.98518809     
    -48.09848277               31.05353049        0.60819225     
    -47.82636892               26.04234380        0.41375893     
    -47.55425507               22.51875779        0.30054297     
    -47.28214122               19.89757308        0.22889379     
    -47.01002737               17.86479091        0.18071788     
    -46.73791352               16.23670367        0.14680685     
    -46.46579967               14.89852932        0.12207687     
    -46.19368582               13.77469490        0.10354043     
    -45.92157197               12.81321019        0.08935590     
    -45.64945812               11.97687266        0.07834873     
    -45.37734426               11.23799955        0.06975796     
    -45.10523041               10.57504471        0.06310085     
    -44.83311656                9.97018593        0.05810952     
    -44.56100271                9.40724436        0.05472882     
    -44.28888886                8.86922470        0.05320463     
    -44.01677501                8.33406918        0.05439267     
    -43.74466116                7.76442770        0.06081736     
    -43.47254731                7.07425739        0.08123858     
    -43.20043346                5.96533905        0.16214048     
    -42.92831961                1.96469206        1.15163346     
    -42.65620576               13.04715129        1.18213026     
    -42.38409191                9.01044284        0.15869391     
    -42.11197806                7.95871366        0.07356796     
    -41.83986421                7.36294953        0.04961929     
    -41.56775036                6.92306273        0.03961115     
    -41.29563651                6.55443038        0.03463580     
    -41.02352266                6.22216862        0.03208733     
    -40.75140881                5.90741822        0.03104262     
    -40.47929496                5.59700150        0.03120096     
    -40.20718111                5.27897174        0.03259499     
    -39.93506725                4.93960190        0.03555677     
    -39.66295340                4.55985492        0.04085901     
    -39.39083955                4.10916985        0.05015253     
    -39.11872570                3.53160362        0.06721356     
    -38.84661185                2.70844720        0.10207098     
    -38.57449800                1.33026121        0.18895797     
    -38.30238415               -1.75262985        0.51456622     
    -38.03027030              -17.07923973        5.01797951     
    -37.75815645               23.90010772        3.39536564     
    -37.48604260               11.90454824        0.46413402     
    -37.21392875                9.93415112        0.98930770     
    -36.94181490                8.15433516        0.10434530     
    -36.66970105                7.35237956        0.06292509     
    -36.39758720                6.82704031        0.04416051     
    -36.12547335                6.44288174        0.03354789     
    -35.85335950                6.14302579        0.02686142     
    -35.58124565                5.89821813        0.02233401     
    -35.30913180                5.69168138        0.01910054     
    -35.03701795                5.51304699        0.01669304     
    -34.76490410                5.35553594        0.01483934     
    -34.49279024                5.21451400        0.01337200     
    -34.22067639                5.08669563        0.01218323     
    -33.94856254                4.96967932        0.01120098     
    -33.67644869                4.86166360        0.01037557     
    -33.40433484                4.76126648        0.00967174     
    -33.13222099                4.66740681        0.00906391     
    -32.86010714                4.57922407        0.00853313     
    -32.58799329                4.49602281        0.00806508     
    -32.31587944                4.41723316        0.00764875     
    -32.04376559                4.34238244        0.00727558     
    -31.77165174                4.27107414        0.00693882     
    -31.49953789                4.20297231        0.00663305     
    -31.22742404                4.13778969        0.00635389     
    -30.95531019                4.07527856        0.00609778     
    -30.68319634                4.01522367        0.00586176     
    -30.41108249                3.95743667        0.00564339     
    -30.13896864                3.90175168        0.00544060     
    -29.86685479                3.84802171        0.00525167     
    -29.59474094                3.79611586        0.00507511     
    -29.32262709                3.74591688        0.00490965     
    -29.05051323                3.69731932        0.00475420     
    -28.77839938                3.65022789        0.00460781     
    -28.50628553                3.60455617        0.00446967     
    -28.23417168                3.56022545        0.00433903     
    -27.96205783                3.51716381        0.00421528     
    -27.68994398                3.47530533        0.00409783     
    -27.41783013                3.43458938        0.00398621     
    -27.14571628                3.39496007        0.00387995     
    -26.87360243                3.35636571        0.00377866     
    -26.60148858                3.31875840        0.00368198     
    -26.32937473                3.28209362        0.00358959     
    -26.05726088                3.24632993        0.00350120     
    -25.78514703                3.21142868        0.00341654     
    -25.51303318                3.17735372        0.00333538     
    -25.24091933                3.14407119        0.00325749     
    -24.96880548                3.11154933        0.00318267     
    -24.69669163                3.07975831        0.00311075     
    -24.42457778                3.04867003        0.00304154     
    -24.15246393                3.01825802        0.00297491     
    -23.88035008                2.98849729        0.00291070     
    -23.60823622                2.95936423        0.00284878     
    -23.33612237                2.93083649        0.00278903     
    -23.06400852                2.90289289        0.00273134     
    -22.79189467                2.87551337        0.00267561     
    -22.51978082                2.84867884        0.00262173     
    -22.24766697                2.82237119        0.00256961     
    -21.97555312                2.79657316        0.00251917     
    -21.70343927                2.77126835        0.00247032     
    -21.43132542                2.74644110        0.00242301     
    -21.15921157                2.72207647        0.00237714     
    -20.88709772                2.69816020        0.00233267     
    -20.61498387                2.67467867        0.00228952     
    -20.34287002                2.65161886        0.00224765     
    -20.07075617                2.62896827        0.00220699     
    -19.79864232                2.60671499        0.00216749     
    -19.52652847                2.58484755        0.00212911     
    -19.25441462                2.56335499        0.00209180     
    -18.98230077                2.54222677        0.00205551     
    -18.71018692                2.52145278        0.00202022     
    -18.43807307                2.50102330        0.00198587     
    -18.16595921                2.48092899        0.00195243     
    -17.89384536                2.46116087        0.00191986     
    -17.62173151                2.44171030        0.00188814     
    -17.34961766                2.42256894        0.00185723     
    -17.07750381                2.40372878        0.00182711     
    -16.80538996                2.38518209        0.00179773     
    -16.53327611                2.36692142        0.00176908     
    -16.26116226                2.34893957        0.00174113     
    -15.98904841                2.33122961        0.00171386     
    -15.71693456                2.31378484        0.00168724     
    -15.44482071                2.29659878        0.00166125     
    -15.17270686                2.27966519        0.00163587     
    -14.90059301                2.26297800        0.00161107     
    -14.62847916                2.24653138        0.00158685     
    -14.35636531                2.23031967        0.00156317     
    -14.08425146                2.21433738        0.00154003     
    -13.81213761                2.19857922        0.00151740     
    -13.54002376                2.18304004        0.00149527     
    -13.26790991                2.16771488        0.00147362     
    -12.99579606                2.15259891        0.00145244     
    -12.72368220                2.13768745        0.00143171     
    -12.45156835                2.12297596        0.00141142     
    -12.17945450                2.10846005        0.00139156     
    -11.90734065                2.09413543        0.00137211     
    -11.63522680                2.07999797        0.00135305     
    -11.36311295                2.06604364        0.00133439     
    -11.09099910                2.05226852        0.00131610     
    -10.81888525                2.03866881        0.00129818     
    -10.54677140                2.02524082        0.00128062     
    -10.27465755                2.01198096        0.00126340     
    -10.00254370                1.99888572        0.00124651     
     -9.73042985                1.98595171        0.00122995     
     -9.45831600                1.97317563        0.00121371     
     -9.18620215                1.96055425        0.00119777     
     -8.91408830                1.94808443        0.00118214     
     -8.64197445                1.93576313        0.00116679     
     -8.36986060                1.92358737        0.00115173     
     -8.09774675                1.91155425        0.00113694     
     -7.82563290                1.89966094        0.00112242     
     -7.55351905                1.88790471        0.00110815     
     -7.28140519                1.87628284        0.00109415     
     -7.00929134                1.86479274        0.00108038     
     -6.73717749                1.85343184        0.00106686     
     -6.46506364                1.84219765        0.00105357     
     -6.19294979                1.83108774        0.00104051     
     -5.92083594                1.82009972        0.00102767     
     -5.64872209                1.80923128        0.00101505     
     -5.37660824                1.79848015        0.00100263     
     -5.10449439                1.78784412        0.00099042     
     -4.83238054                1.77732100        0.00097841     
     -4.56026669                1.76690870        0.00096660     
     -4.28815284                1.75660514        0.00095497     
     -4.01603899                1.74640829        0.00094353     
     -3.74392514                1.73631618        0.00093226     
     -3.47181129                1.72632686        0.00092118     
     -3.19969744                1.71643844        0.00091026     
     -2.92758359                1.70664905        0.00089951     
     -2.65546974                1.69695688        0.00088892     
     -2.38335589                1.68736015        0.00087848     
     -2.11124204                1.67785710        0.00086821     
     -1.83912818                1.66844603        0.00085808     
     -1.56701433                1.65912526        0.00084810     
     -1.29490048                1.64989313        0.00083826     
     -1.02278663                1.64074804        0.00082856     
     -0.75067278                1.63168840        0.00081899     
     -0.47855893                1.62271265        0.00080956     
     -0.20644508                1.61381927        0.00080025     
      0.06566877                1.60500676        0.00079107     
      0.33778262                1.59627364        0.00078201     
      0.60989647                1.58761846        0.00077307     
      0.88201032                1.57903980        0.00076425     
      1.15412417                1.57053626        0.00075553     
      1.42623802                1.56210646        0.00074693     
      1.69835187                1.55374905        0.00073844     
      1.97046572                1.54546269        0.00073004     
      2.24257957                1.53724607        0.00072175     
      2.51469342                1.52909788        0.00071356     
      2.78680727                1.52101687        0.00070546     
      3.05892112                1.51300176        0.00069745     
      3.33103497                1.50505132        0.00068954     
      3.60314883                1.49716433        0.00068171     
      3.87526268                1.48933957        0.00067396     
      4.14737653                1.48157585        0.00066630     
      4.41949038                1.47387199        0.00065872     
      4.69160423                1.46622682        0.00065121     
      4.96371808                1.45863920        0.00064378     
      5.23583193                1.45110799        0.00063642     
      5.50794578                1.44363204        0.00062913     
      5.78005963                1.43621026        0.00062191     
      6.05217348                1.42884151        0.00061476     
      6.32428733                1.42152472        0.00060766     
      6.59640118                1.41425878        0.00060063     
      6.86851503                1.40704262        0.00059365     
      7.14062888                1.39987515        0.00058673     
      7.41274273                1.39275532        0.00057986     
      7.68485658                1.38568205        0.00057304     
      7.95697043                1.37865430        0.00056627     
      8.22908428                1.37167100        0.00055955     
      8.50119813                1.36473110        0.00055287     
      8.77331198                1.35783356        0.00054623     
      9.04542584                1.35097734        0.00053962     
      9.31753969                1.34416138        0.00053306     
      9.58965354                1.33738465        0.00052653     
      9.86176739                1.33064610        0.00052003     
     10.13388124                1.32394468        0.00051355     
     10.40599509                1.31727935        0.00050710     
     10.67810894                1.31064904        0.00050068     
     10.95022279                1.30405272        0.00049428     
     11.22233664                1.29748931        0.00048789     
     11.49445049                1.29095776        0.00048152     
     11.76656434                1.28445697        0.00047516     
     12.03867819                1.27798588        0.00046881     
     12.31079204                1.27154338        0.00046246     
     12.58290589                1.26512838        0.00045612     
     12.85501974                1.25873976        0.00044978     
     13.12713359                1.25237639        0.00044344     
     13.39924744                1.24603712        0.00043708     
     13.67136129                1.23972079        0.00043072     
     13.94347514                1.23342623        0.00042434     
     14.21558899                1.22715224        0.00041795     
     14.48770285                1.22089760        0.00041153     
     14.75981670                1.21466106        0.00040509     
     15.03193055                1.20844135        0.00039862     
     15.30404440                1.20223719        0.00039211     
     15.57615825                1.19604725        0.00038556     
     15.84827210                1.18987016        0.00037897     
     16.12038595                1.18370455        0.00037233     
     16.39249980                1.17754898        0.00036564     
     16.66461365                1.17140198        0.00035889     
     16.93672750                1.16526205        0.00035207     
     17.20884135                1.15912762        0.00034518     
     17.48095520                1.15299710        0.00033821     
     17.75306905                1.14686882        0.00033115     
     18.02518290                1.14074107        0.00032401     
     18.29729675                1.13461207        0.00031676     
     18.56941060                1.12847998        0.00030940     
     18.84152445                1.12234287        0.00030193     
     19.11363830                1.11619877        0.00029434     
     19.38575215                1.11004559        0.00028660     
     19.65786600                1.10388116        0.00027873     
     19.92997986                1.09770324        0.00027069     
     20.20209371                1.09150945        0.00026248     
     20.47420756                1.08529733        0.00025410     
     20.74632141                1.07906428        0.00024552     
     21.01843526                1.07280757        0.00023673     
     21.29054911                1.06652434        0.00022771     
     21.56266296                1.06021157        0.00021845     
     21.83477681                1.05386608        0.00020893     
     22.10689066                1.04748451        0.00019913     
     22.37900451                1.04106330        0.00018903     
     22.65111836                1.03459870        0.00017861     
     22.92323221                1.02808670        0.00016784     
     23.19534606                1.02152305        0.00015669     
     23.46745991                1.01490325        0.00014514     
     23.73957376                1.00822248        0.00013315     
     24.01168761                1.00147560        0.00012068     
     24.28380146                0.99465712        0.00010771     
     24.55591531                0.98776114        0.00009419     
     24.82802916                0.98078135        0.00008007     
     25.10014301                0.97371096        0.00006530     
     25.37225687                0.96654266        0.00004982     
     25.64437072                0.95926855        0.00003358     
     25.91648457                0.95188012        0.00001651     
     26.18859842                0.94436812       -0.00000147     
     26.46071227                0.93672252       -0.00002044     
     26.73282612                0.92893244       -0.00004050     
     27.00493997                0.92098597       -0.00006175     
     27.27705382                0.91287014       -0.00008431     
     27.54916767                0.90457072       -0.00010831     
     27.82128152                0.89607210       -0.00013389     
     28.09339537                0.88735709       -0.00016123     
     28.36550922                0.87840673       -0.00019052     
     28.63762307                0.86920001       -0.00022197     
     28.90973692                0.85971362       -0.00025584     
     29.18185077                0.84992161       -0.00029239     
     29.45396462                0.83979497       -0.00033198     
     29.72607847                0.82930117       -0.00037496     
     29.99819232                0.81840359       -0.00042179     
     30.27030617                0.80706088       -0.00047297     
     30.54242002                0.79522609       -0.00052912     
     30.81453388                0.78284574       -0.00059093     
     31.08664773                0.76985854       -0.00065927     
     31.35876158                0.75619399       -0.00073515     
     31.63087543                0.74177047       -0.00081977     
     31.90298928                0.72649293       -0.00091462     
     32.17510313                0.71025003       -0.00102149     
     32.44721698                0.69291037       -0.00114263     
     32.71933083                0.67431773       -0.00128078     
     32.99144468                0.65428485       -0.00143942     
     33.26355853                0.63258520       -0.00162299     
     33.53567238                0.60894199       -0.00183718     
     33.80778623                0.58301327       -0.00208942     
     34.07990008                0.55437134       -0.00238957     
     34.35201393                0.52247376       -0.00275093     
     34.62412778                0.48662182       -0.00319180     
     34.89624163                0.44589929       -0.00373790     
     35.16835548                0.39907998       -0.00442638     
     35.44046933                0.34448356       -0.00531241     
     35.71258318                0.27974236       -0.00648095     
     35.98469703                0.20140784       -0.00806828     
     36.25681089                0.10425092       -0.01030441     
     36.52892474               -0.02006256       -0.01360267     
     36.80103859               -0.18568697       -0.01876792     
     37.07315244               -0.41876635       -0.02754365     
     37.34526629               -0.77356233       -0.04431385     
     37.61738014               -1.38416426       -0.08289489     
     37.88949399               -2.69613684       -0.20778058     
     38.16160784               -7.58173902       -1.19351377     
     38.43372169               19.21961160       -6.23940562     
     38.70583554                5.45308572       -0.35930177     
     38.97794939                3.42750731       -0.11538176     
     39.25006324                2.61726894       -0.05651994     
     39.52217709                2.17595126       -0.03376844     
     39.79429094                1.89398954       -0.02273459     
     40.06640479                1.69446100       -0.01664039     
     40.33851864                1.54227322       -0.01300750     
     40.61063249                1.41887881       -0.01076515     
